Alabama,Montgomery
Alaska,Juneau
Arizona,Phoenix
Arkansas,LittleRock
California,Sacramento
Colorado,Denver
Connecticut,Hartford
Delaware,Dover
Florida,Tallahassee
Georgia,Atlanta
Hawaii,Honolulu
Idaho,Boise
Illinois,Springfield
Indiana,Indianapolis
Iowa,DesMoines
Kansas,Topeka
Kentucky,Frankfort
Louisiana,BatonRouge
Maine,Augusta
Maryland,Annapolis
Massachusetts,Boston
Michigan,Lansing
Minnesota,St.Paul
Mississippi,Jackson
Missouri,JeffersonCity
Montana,Helena
Nebraska,Lincoln
Nevada,CarsonCity
NewHampshire,Concord
NewJersey,Trenton
NewMexico,SantaFe
NewYork,Albany
NorthCarolina,Raleigh
NorthDakota,Bismarck
Ohio,Columbus
Oklahoma,OklahomaCity
Oregon,Salem
Pennsylvania,Harrisburg
RhodeIsland,Providence
SouthCarolina,Columbia
SouthDakota,Pierre
Tennessee,Nashville
Texas,Austin
Utah,SaltLakeCity
Vermont,Montpelier
